Name,Elo,Wins,Losses,MatchesPlayed
Haase R.,230,197,251,448
Zverev M.,220,130,186,316
Dorsch B.,485,0,3,3
Stadler S.,475,5,10,15
Granollers M.,260,187,235,422
Roshardt R.,490,0,2,2
Vicente M.,495,0,1,1
Kutac R.,495,0,1,1
Levine J.,325,28,63,91
Sijsling I.,305,45,84,129
Darcis S.,390,83,105,188
De Bakker T.,365,50,77,127
Querrey S.,740,351,303,654
Junqueira D.,395,10,31,41
Patriarca D.,495,0,1,1
Haider-Mauer A.,495,1,2,3
Sandbichler A.,495,0,1,1
Yani M.,450,3,13,16
Cipolla F.,320,29,65,94
Belic L.,485,0,3,3
Ianni S.,495,0,1,1
Panfil G.,495,0,1,1
Sweeting R.,375,31,56,87
Dev Varman S.,485,0,3,3
Polansky P.,365,11,38,49
Hajek J.,305,25,64,89
Yu X.Y.,490,0,2,2
Wang Y.Jr.,495,0,1,1
Dolgopolov A.,485,0,3,3
Aranguren J.M.,490,0,2,2
Smit J.,495,0,1,1
Auckland J.,505,2,1,3
Clemens T.,500,2,2,4
Troicki V.,555,255,244,499
Chaen T.,495,0,1,1
Schuttler P.,495,0,1,1
Kravchuk K.,410,7,25,32
Fish A.,495,0,1,1
Fischer M.,415,2,19,21
Reister J.,415,13,30,43
Gulbis E.,440,213,225,438
Robredo R.,495,1,2,3
Giraldo S.,260,133,181,314
Jun W.,495,0,1,1
Rosol L.,290,106,148,254
Lacko L.,240,79,131,210
Dutra Silva R.,320,21,57,78
Andujar P.,115,153,230,383
Schwank E.,370,33,59,92
Huta Galung J.,390,3,25,28
Guez D.,430,2,16,18
Echagaray B.,480,0,4,4
Fornell M.,495,0,1,1
Gensse A.,490,1,3,4
Ward J.,315,13,50,63
Stepanek M.,495,0,1,1
Dustov F.,470,0,6,6
Chaki R.,490,0,2,2
Sousa P.,395,6,27,33
Brands D.,310,55,93,148
Bachinger M.,385,31,54,85
Eysseric J.,480,0,4,4
