Name,Elo,Wins,Losses,MatchesPlayed
Matsukevitch D.,483.3155658024423,1,3,4
Kamke T.,523.7759847849463,61,99,160
Youzhny A.,494.4778177218091,0,1,1
Golubev A.,460.3644232540056,48,102,150
Chekov P.,479.9415328632452,0,1,1
Kukushkin M.,474.0825063221192,138,202,340
Vardhan V.,474.8442092686524,0,2,2
Zovko L.,496.78363826670954,2,3,5
Kudryavtsev A.,455.85645331591854,5,14,19
Statham R.,484.4185148203841,0,1,1
Jones G.D.,483.52529439759223,0,1,1
Jones G.,462.16401081513095,1,6,7
Klein B.,448.31375365902363,3,10,13
Slanar M.,489.7165368124216,1,2,3
Podlipnik H.,481.4880151238493,0,2,2
Marrero D.,456.743245083631,3,6,9
Bellucci T.,482.6002925486832,170,198,368
Munoz de la Nava D.,485.8341808229076,0,1,1
Decoud S.,519.1806599054975,4,4,8
Bowles C.,485.00417554483727,0,1,1
Crugnola M.,480.54710478133495,0,3,3
Dodig I.,550.8548934640941,110,122,232
Smyczek T.,453.31423777264047,43,85,128
Rodriguez B.,482.86140315579775,0,1,1
Ramirez C.,468.2830558967583,0,3,3
Skugor F.,444.8142641219834,7,19,26
Kavcic B.,445.9441055878312,36,77,113
Cervenak P.,538.48467987777,5,4,9
Al-Ghareeb M.,495.1691023526533,0,1,1
Sousa J.,442.84039662567403,182,248,430
Elias G.,491.8612797963544,22,42,64
Harrison R.,551.7833002279614,109,153,262
Lopez-Jaen M.A.,509.91987308433386,1,2,3
Trujillo G.,507.44502586274064,1,1,2
Sanchez De Luna J.,481.8344917228675,0,2,2
Marrai M.,481.41453929652687,0,1,1
Del Potro J.,522.4382004085267,2,1,3
Fabbiano T.,456.41301431675566,26,62,88
Ouanna J.,517.5087299902609,9,17,26
Mannarino A.,554.3969805909119,284,332,616
Lipsky S.,480.88910038057224,0,1,1
De Voest R.,399.8146082321627,6,21,27
Evans D.,517.8336726326716,128,151,279
Berankis R.,553.4429648778425,97,142,239
Janowicz J.,646.3413406912332,77,81,158
Dimitrov G.,891.1578947232603,432,276,708
Middelkoop M.,485.75033533273773,0,1,1
Groth S.,514.6868628043001,33,56,89
Slabinsky A.,475.49399765988085,0,2,2
Kim K,495.10872474606026,0,1,1
Dabul B.,429.70322063646177,13,27,40
Van der Merwe I.,485.03748259656277,1,2,3
Eaton C.,503.17180026224935,1,1,2
Qureshi A.U.H.,477.09080670547695,1,4,5
Brizzi A.,480.52992817552223,0,1,1
Cruciat A.,467.42616044544064,0,2,2
O'Neal J.,478.7563699741205,0,1,1
Oswald P.,475.1350775082996,1,3,4
Mayer L.,479.35123103534875,163,185,348
Veic A.,421.9231842720709,9,21,30
Piccari F.,480.5995625131061,0,1,1
Estrella V.,494.8005020841287,0,1,1
Ignatik U.,486.9107053724682,0,1,1
Devvarman S.,430.8649423012894,44,66,110
De Heart R.,516.3731733185375,1,1,2
Ball C.,511.78845386396324,7,11,18
Krajicek A.,467.9749166272679,11,24,35
Djokovic M.,457.20194452815184,0,3,3
Xu J.C.,480.75578469033434,0,1,1
Bai Y.,489.9376689858976,2,6,8
Jouan R.,491.40281706495983,1,4,5
Sugita Y.,492.5216639385709,42,80,122
Kondo H.,480.8572364018408,0,1,1
Ito Y.,482.1485791220432,0,1,1
Ito T.,466.2033437945468,27,54,81
Donskoy E.,457.77587859993565,48,111,159
Lejnieks K.,508.2509831415875,1,1,2
Tomic B.,553.3426825705183,166,163,329
